21514 20160103 2300 20160103 1300  2.424 -155.58   19.54    10.8    11.4    12.1    10.8     0.0    835 0    841 0    825 0 C    30.4 0    31.6 0    29.2 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0000 20160103 1400  2.424 -155.58   19.54    10.1    10.4    11.1     9.6     0.0    792 0    828 0    746 0 C    31.7 0    32.9 0    29.8 0    19 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0100 20160103 1500  2.424 -155.58   19.54    11.3    10.2    11.3     9.4     0.0    691 0    747 0    620 0 C    29.2 0    29.9 0    28.0 0    24 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0200 20160103 1600  2.424 -155.58   19.54    10.9    10.8    11.7    10.0     0.0    526 0    620 0    425 0 C    24.3 0    28.0 0    21.1 0    22 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0300 20160103 1700  2.424 -155.58   19.54     9.0     9.4    10.9     8.8     0.0    306 0    423 0    191 0 C    17.3 0    21.1 0    13.3 0    44 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0400 20160103 1800  2.424 -155.58   19.54     8.7     8.5     9.2     7.6     0.0     73 0    190 0      0 0 C     9.2 0    13.3 0     5.3 0    44 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0500 20160103 1900  2.424 -155.58   19.54     8.1     8.1     8.7     7.5     0.0      0 0      0 0      0 0 C     3.3 0     5.3 0     1.6 0    11 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0600 20160103 2000  2.424 -155.58   19.54     7.4     7.6     8.1     7.2     0.0      0 0      0 0      0 0 C     0.9 0     1.7 0     0.4 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0700 20160103 2100  2.424 -155.58   19.54     7.2     7.0     7.4     6.4     0.0      0 0      0 0      0 0 C     0.1 0     0.4 0    -0.4 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0800 20160103 2200  2.424 -155.58   19.54     6.4     6.7     7.4     6.1     0.0      0 0      0 0      0 0 C    -0.9 0    -0.4 0    -1.3 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 0900 20160103 2300  2.424 -155.58   19.54     5.8     6.2     6.6     5.8     0.0      0 0      0 0      0 0 C    -1.4 0    -1.1 0    -1.5 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1000 20160104 0000  2.424 -155.58   19.54     5.1     5.6     6.0     5.1     0.0      0 0      0 0      0 0 C    -1.6 0    -1.3 0    -2.1 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1100 20160104 0100  2.424 -155.58   19.54     4.7     5.1     5.4     4.7     0.0      0 0      0 0      0 0 C    -2.3 0    -2.0 0    -2.7 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1200 20160104 0200  2.424 -155.58   19.54     4.5     5.0     5.5     4.5     0.0      0 0      0 0      0 0 C    -2.8 0    -2.6 0    -3.1 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1300 20160104 0300  2.424 -155.58   19.54     5.7     4.8     5.8     3.9     0.0      0 0      0 0      0 0 C    -2.8 0    -1.9 0    -3.1 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1400 20160104 0400  2.424 -155.58   19.54     5.5     5.7     6.0     5.4     0.0      0 0      0 0      0 0 C    -1.6 0    -1.3 0    -1.9 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1500 20160104 0500  2.424 -155.58   19.54     5.4     5.3     5.6     4.8     0.0      0 0      0 0      0 0 C    -1.9 0    -1.8 0    -2.1 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1600 20160104 0600  2.424 -155.58   19.54     4.7     4.7     5.6     3.7     0.0      0 0      0 0      0 0 C    -2.4 0    -2.1 0    -2.6 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
